area,rooms,floor,year_of_construction,price
84,3,3,1976,145545
82,3,6,1951,201696
89,4,8,2004,222813
81,3,9,2015,171715
96,4,3,1977,218129
59,1,6,1960,139868
96,4,3,1952,326995
93,4,9,1977,172562
76,2,4,1966,168906
64,3,2,1989,141685
118,5,10,1982,243080
106,4,5,1956,259068
71,3,5,1959,176802
91,4,5,2017,203333
80,4,4,1971,193165
87,4,7,1993,218063
79,3,3,1968,194282
90,3,7,2014,193622
67,2,4,2002,109906
93,4,6,2011,194410
76,2,5,1970,178961
94,3,6,1982,220127
111,4,9,2012,199846
120,5,10,2019,269363
76,3,10,2002,158744
82,4,2,1968,173777
89,4,2,1959,223188
103,4,9,1954,288001
52,1,6,1961,89137
52,1,2,1985,85929
87,4,6,2010,179090
100,4,8,1986,178715
112,4,2,1956,383121
87,3,2,1994,137892
117,5,1,2000,289356
98,3,6,1988,216220
96,3,3,1961,223952
93,4,7,1981,161819
90,3,4,1993,175734
91,4,5,1955,233911
78,2,6,1990,116470
70,3,10,1961,200289
111,4,10,1976,224429
74,3,7,2001,164677
77,2,3,2004,143203
72,3,6,1982,154259
54,2,1,1953,131170
55,2,5,1969,96506
59,2,2,2001,125839
52,1,7,1985,88071
87,3,4,1955,207851
95,3,8,1964,240371
54,1,10,1988,102949
63,2,5,1990,129599
76,3,2,1956,223436
83,3,10,1970,151291
97,3,7,1993,155679
109,5,3,2002,301163
56,1,6,1958,123341
55,1,1,1960,101458
113,5,3,1967,315817
86,3,1,1958,214451
55,1,9,1999,93287
73,3,5,1991,139932
84,4,6,1960,244297
83,3,1,1954,250298
78,3,4,1987,160659
72,3,2,1953,189557
78,3,6,1973,148569
62,3,7,2007,102737
90,3,4,1971,157064
98,3,7,1971,238277
87,3,7,1961,201758
58,2,5,1970,134168
66,2,5,2015,109583
111,5,9,2001,281829
63,2,10,2022,116033
111,4,10,1972,262748
64,2,1,1951,148283
72,2,2,2019,149048
109,4,8,1998,204711
82,4,5,1983,168308
98,3,1,1997,197525
50,1,5,2022,72157
75,3,9,2007,158375
54,2,10,2010,102951
70,3,9,1967,135461
74,3,4,2015,170555
72,3,4,1981,117353
58,1,4,1953,152985
74,2,8,1996,116156
80,3,8,1974,160534
105,4,9,1966,292388
88,4,7,2020,212000
83,4,2,2009,163501
103,4,2,1971,198797
56,1,2,1995,93685
61,3,1,2018,115907
103,5,4,1995,201129
102,4,7,1961,273637
78,2,9,1955,184133
108,4,4,2006,257919
100,4,2,1965,236858
114,4,3,1990,279116
79,2,9,1975,151134
64,2,4,1956,189584
65,3,3,1975,143999
50,1,10,1957,130255
58,2,1,1985,82892
65,2,10,2022,140597
77,3,3,1976,139204
77,3,5,1975,145211
76,3,4,1994,168377
68,2,5,2002,143710
111,5,7,1979,303727
107,4,8,1994,260221
114,4,1,1994,252792
104,4,1,2021,180849
114,4,7,1980,221928
105,4,4,1951,341587
97,4,10,1965,285882
71,3,7,1996,133948
51,2,7,2018,101915
87,4,1,1978,164816
91,3,7,2002,208375
100,5,7,1992,214673
51,1,1,1968,89763
74,2,3,1951,197797
70,2,7,2019,139982
50,1,2,1977,75271
73,3,1,1998,132855
91,3,4,1990,182318
99,4,1,2004,222132
113,4,6,2019,262538
109,5,9,1991,208413
119,4,6,1952,403866
119,5,7,2013,327078
105,4,10,1987,220184
86,3,8,2009,198462
76,2,5,1996,143618
112,5,10,2021,294029
55,2,4,1954,114507
58,2,8,1952,147939
119,5,6,1972,244069
95,3,1,1962,246352
84,4,6,1999,176016
96,4,6,1982,195915
89,3,4,1978,182007
56,2,6,2016,111757
73,2,2,1995,141446
51,1,1,1950,135149
62,2,4,2015,110094
105,5,8,2007,286216
118,4,9,2012,228799
64,3,7,1982,127198
56,2,3,1950,175124
104,5,2,2014,272101
51,2,9,2020,82418
104,4,4,1970,254107
95,4,3,2019,221923
91,3,1,2006,169941
112,5,10,2012,284425
113,5,6,1987,217963
114,5,6,1950,462132
119,4,1,2000,245740
58,1,10,1950,124132
102,5,6,1987,235066
105,5,7,1994,233943
77,2,4,2006,167591
61,3,3,1971,137020
91,4,5,2006,203088
59,1,9,1995,110490
81,4,9,2020,187835
76,3,7,2021,123566
115,5,4,1992,287717
108,5,3,2020,257462
68,3,3,1992,147902
89,4,2,1975,187174
108,5,2,2019,279000
61,2,9,1965,121033
90,4,3,2002,228796
80,3,10,1967,157175
76,2,10,2014,161463
72,3,4,1960,163531
62,3,5,1954,152211
65,3,6,2004,125486
76,2,3,2010,115600
116,4,8,1954,307238
74,2,10,1991,119158
104,4,6,2009,254255
99,4,1,1991,157483
51,1,6,1985,78729
101,4,8,1972,226129
113,4,2,2005,226565
118,4,6,2000,256938
78,2,2,1966,190793
65,2,5,1997,108959
102,4,3,2009,236747
57,1,4,1958,147831
118,4,5,1975,278793
93,3,7,1974,192200
94,3,6,1986,158865
100,4,4,1984,217394
99,4,8,1987,237470
75,2,6,1958,152392
60,3,3,2007,125769
62,2,4,1982,132026
117,5,7,1995,274285
83,4,3,2014,206113
119,5,6,1953,361631
81,4,3,1984,195662
108,4,6,2008,223540
70,2,10,1994,119679
105,4,9,1980,205397
106,4,5,1988,249561
62,2,6,1967,140943
86,3,1,1953,232233
56,1,6,1972,111966
115,4,9,1992,279094
106,4,8,1978,260612
88,3,7,1957,257632
104,5,7,1965,298498
99,3,3,1960,262163
110,4,7,2018,271601
106,4,5,2017,268575
72,2,7,1993,121498
107,4,1,1951,314968
87,4,5,2022,164952
59,1,3,1990,83130
57,2,3,1976,92485
104,4,8,1989,230139
104,4,6,2022,226899
82,3,1,1964,146184
55,1,6,1982,73677
79,2,7,1999,148092
52,1,3,1957,136455
83,4,7,1965,227263
57,2,10,1984,86854
81,3,1,2011,144633
67,2,5,1997,141116
83,3,5,1963,168434
99,3,3,1969,230550
72,2,2,1960,188901
117,5,9,2011,308311
50,2,10,1950,136620
110,5,10,1989,209575
79,3,5,2006,159744
111,4,6,2000,203501
97,3,7,2004,160391
65,2,5,1953,188402
61,3,4,1977,128285
85,4,7,2000,184414
119,4,6,1996,217811
97,4,7,1988,238651
92,3,2,1952,302580
86,4,1,1979,150913
87,3,4,2020,163377
92,4,10,1952,312546
101,5,3,1994,257534
92,3,4,1980,163584
69,2,1,1971,111039
67,3,6,2005,124510
98,4,4,2019,201553
83,4,4,1997,193905
89,4,10,2010,209509
109,4,6,1988,258945
51,1,1,1984,79709
65,2,6,1988,134674
90,3,4,1969,176455
103,4,6,1966,227908
100,4,1,1963,278397
91,4,8,1962,233743
97,3,4,1953,305019
73,2,5,1985,141952
70,3,10,1981,166310
95,3,5,2000,172274
65,3,5,1966,172076
93,4,7,1993,197762
90,3,5,2016,160823
62,3,10,1998,122600
102,5,10,1951,398897
107,5,1,1960,308508
92,3,9,1952,316687
54,2,6,1956,116363
92,4,10,1952,250749
50,2,9,1959,143262
74,3,5,1982,170561
70,2,2,1990,126552
65,3,7,1954,165190
66,3,6,1960,195207
97,3,5,1997,179123
92,4,8,2003,180262
62,3,7,1965,137506
98,4,10,1952,357973
78,2,3,1987,135411
50,1,10,1979,78807
96,3,5,1989,200672
111,5,8,1961,262600
112,4,2,1980,285684
114,4,1,2013,182154
57,1,5,2003,92047
56,1,10,1973,112121
79,3,6,1982,174573
79,2,4,1981,121924
88,3,5,2009,171521
89,4,3,1998,170992
50,1,1,1967,80809
93,3,1,1979,192456
73,3,6,1972,172052
107,4,9,1976,227129
72,2,5,1973,121530
56,2,6,1953,128143
62,3,4,2002,108977
116,4,8,2011,240157
97,3,6,1991,217311
92,4,2,1995,178523
61,2,8,1973,106024
100,4,7,1959,326310
75,2,2,2021,149324
82,4,5,1976,166295
96,4,7,1950,345160
80,3,4,2018,188364
105,5,6,1979,260966
82,4,7,1976,200124
86,4,4,2019,210070
62,2,4,1989,107585
65,3,10,1961,148113
50,2,10,1992,103889
54,2,8,1983,91203
107,5,2,1992,286032
78,3,6,1960,198431
120,4,4,1956,320610
76,3,9,1961,172512
117,5,4,1971,258384
104,5,2,1995,236847
99,3,2,1957,229652
104,5,9,2017,250154
94,4,7,1986,230998
111,5,7,2001,273516
89,3,4,1956,208270
105,4,4,1987,216242
77,3,10,2018,124848
118,4,7,1984,267868
52,1,9,1972,77833
95,3,9,1972,169950
76,3,2,2013,145615
103,5,2,1955,321169
63,2,1,1999,118931
50,1,5,1961,105907
109,4,3,1993,265066
78,3,5,1985,145395
58,2,2,1967,115005
72,3,2,1978,148270
84,4,8,1979,193829
99,4,6,1950,361874
63,2,5,2019,124873
55,1,5,2019,81672
93,3,9,1965,222121
80,3,6,1976,129172
99,4,2,1957,333866
83,4,8,1968,199063
83,4,1,2015,139418
101,4,2,1995,254841
50,2,5,2004,101888
55,1,3,1965,130390
89,4,7,1964,225340
87,3,8,1958,185663
114,4,1,1974,243997
73,2,8,1954,157015
68,3,8,1998,127179
77,2,3,1979,149267
89,4,6,1953,312903
113,5,7,2004,215380
69,2,4,1987,120751
100,4,3,2008,241608
62,3,8,1999,142881
92,4,1,1968,190784
51,2,1,1994,91681
89,3,4,1986,174071
78,2,8,2019,152047
101,5,6,1957,274916
113,5,4,2004,223177
93,4,1,1975,180050
77,2,8,2020,141059
86,4,8,1961,235407
70,2,10,2001,116645
58,1,6,1986,86672
54,1,9,2008,96621
85,3,7,2018,150095
86,4,4,2008,218531
74,3,8,1971,159409
59,2,9,2004,106328
113,4,7,2007,275204
115,4,5,2001,201349
80,3,3,1955,257241
89,4,9,2000,215491
69,2,6,1981,125013
113,5,10,1984,296433
75,3,9,1969,175766
101,5,6,2008,242330
113,4,2,2002,270954
85,4,8,1985,213759
71,2,10,1991,120125
115,4,6,1978,233882
101,5,1,1996,197952
114,5,7,2004,233313
118,5,2,2004,276782
111,4,2,1996,210108
93,3,4,1980,153844
100,5,4,1995,258605
50,2,9,1957,129031
61,2,6,1988,110636
118,5,3,1991,311546
110,4,5,2020,245943
53,2,10,1997,79375
58,2,2,2008,95518
90,3,1,1997,135172
92,4,4,2002,180384
66,2,3,1955,193419
111,5,5,1972,279126
55,2,6,2018,84216
79,3,3,2022,147324
69,2,6,1977,137623
77,3,3,2013,152878
71,3,7,1982,139405
59,1,7,1961,105909
105,4,2,2003,191944
57,1,4,1977,91863
81,4,6,2012,189767
63,2,1,1989,107427
84,4,5,2005,186799
98,3,7,1980,191118
105,5,7,2022,240363
105,4,2,1971,247618
85,3,6,1950,206110
98,3,7,1953,240785
79,2,6,2018,115018
90,3,5,1969,210139
116,4,5,2005,284850
81,4,3,2020,141655
67,2,8,1975,111627
115,5,7,1960,375736
59,1,4,2021,95839
117,5,5,2001,221949
104,4,4,2003,261443
89,4,4,2018,217291
92,3,4,1972,168173
111,5,10,2012,208958
98,4,4,1984,219801
104,4,3,1975,235569
105,4,6,1972,219159
80,3,6,1990,129788
114,5,3,2021,305000
78,2,4,1966,193520
91,3,4,2018,180397
55,1,7,1954,110666
105,4,1,1993,202804
103,5,1,1986,223652
101,5,1,2020,240216
118,5,2,2002,261896
68,3,3,2006,131607
83,3,1,1987,134416
94,4,9,1952,271286
54,2,7,1995,81124
59,2,6,2010,104668
105,4,10,2003,199054
112,4,4,2018,264016
58,2,10,2009,119114
67,2,2,1962,180667
52,2,6,1972,80760
117,4,7,2016,295051
77,3,2,1962,190939
53,1,7,2010,74852
68,2,1,2007,127467
104,4,2,1953,271854
64,3,2,1966,160351
103,4,8,2003,213509
60,2,9,1982,96589
54,1,6,1953,106338
56,1,4,1959,102342
76,2,8,2019,162505
101,4,1,2011,216317
106,4,8,1991,206280
110,4,8,2002,217086
57,2,10,1973,115090
50,1,1,1952,90702
99,3,7,2005,180106
116,4,6,2008,224826
80,4,10,1958,218054
65,3,4,2016,128224
80,3,1,1951,239513
94,4,5,1992,187008
95,3,4,2010,175552
85,3,7,1990,158880
50,1,9,1974,98409
77,3,4,1996,144957
69,2,9,1989,113745
83,4,1,1965,225737
119,4,1,1995,198024
60,3,5,2006,118641
102,4,8,1999,242064
75,2,6,1994,122482
51,2,3,1965,93097
94,4,2,1966,206634
120,5,9,1990,282002
57,1,2,1966,99942
96,3,5,1951,232876
92,4,1,1985,193578
70,2,4,2019,111370
118,5,9,1958,356926
106,4,5,2018,258332
116,4,5,1965,295331
63,2,5,1982,135288
107,5,7,1958,360625
104,5,9,2003,234221
50,1,10,2020,97154
65,3,2,1999,140841
73,2,3,1992,125737
59,2,7,1969,115410
116,4,10,1979,210518
57,1,5,2002,101630
60,3,7,1980,135549
113,5,6,1957,329742
62,2,4,1992,113303
108,4,7,1982,218101
79,2,9,1956,197038
64,2,9,2022,134058
119,5,6,2003,327325
51,2,5,1996,108909
88,4,6,1966,258648
69,2,5,2003,107555
114,5,6,1991,298290
54,2,7,2003,83361
116,5,3,1965,317092
111,5,8,2008,288327
110,5,8,1996,203455
66,2,7,1995,127080
93,3,4,1978,163288
60,3,4,2021,123773
108,5,3,2003,237840
78,2,7,1985,158177
109,4,5,2015,226212
73,3,1,1982,107906
90,3,7,1956,282272
55,1,8,2017,97454
97,3,6,1968,255741
117,4,4,1952,368069
65,3,2,1963,167027
99,3,6,2003,220129
92,4,6,1986,172330
105,5,6,2009,239111
53,1,1,2017,91010
62,2,6,1957,161162
81,3,2,2016,177675
97,4,8,1960,222063
76,2,2,1980,142520
102,4,3,1977,193800
60,2,10,1953,128917
84,3,8,2006,163820
52,1,9,1990,88474
103,5,7,1963,295657
96,3,8,1990,176201
62,3,7,1975,98258
94,3,7,1967,214387
77,2,5,2017,136633
73,3,8,2012,119910
115,4,3,1986,211069
110,5,3,1997,272246
54,2,6,1951,117437
85,4,2,1984,217211
102,5,10,1995,243066
73,2,7,2020,146703
67,3,2,1991,108530
87,4,10,1978,203256
107,5,9,1980,266560
113,5,7,1966,338615
58,1,5,1983,110939
77,3,6,2010,162013
73,2,3,1982,132534
95,3,2,1992,162895
105,4,3,2010,210102
103,4,8,1994,241065
120,5,7,2018,278468
77,2,5,1970,152964
97,4,3,1963,219433
106,5,5,2013,221667
90,3,6,1984,183411
87,4,8,2017,153650
65,3,9,2002,139165
83,3,5,2004,184216
63,3,6,1998,108227
55,2,3,1957,118726
78,2,10,2000,126219
107,5,10,2011,207934
77,3,5,2006,135254
57,1,2,1962,125522
111,5,2,1982,293450
51,1,10,1994,85567
111,4,9,2005,232294
73,2,10,1963,154778
93,4,7,1955,302390
90,4,6,2018,156425
78,3,1,1953,183563
98,3,10,1972,185977
109,4,5,1984,206598
101,4,4,1997,226771
67,2,10,1984,139603
54,1,4,2017,72541
91,3,10,1984,148339
58,2,4,1982,102047
84,4,1,1992,131939
58,2,3,1968,135798
91,3,2,1952,239610
90,3,2,1954,259562
98,3,8,1960,285078
107,5,2,1980,219814
51,1,4,2019,95673
64,2,5,2013,99509
63,2,1,2006,112228
70,2,5,1975,116920
76,2,5,1997,152005
120,5,5,1960,422137
91,4,5,1962,275827
115,5,9,2021,242665
96,4,2,1972,233354
53,1,2,1955,142866
118,5,4,2015,225614
86,4,5,1965,227122
92,4,8,1979,224919
118,5,2,1952,378377
67,2,6,1975,126804
120,4,2,1998,264310
115,5,1,1957,303548
53,2,7,1988,113446
108,4,2,2003,195277
68,3,10,2013,111905
74,2,5,1990,135053
88,4,2,1952,324890
117,5,5,1983,290441
52,2,7,1972,97058
114,5,9,2005,273494
112,5,1,1950,283849
62,3,2,1974,137759
72,3,8,1991,131070
53,2,2,2004,96168
112,4,6,2021,214561
72,3,4,1977,155567
92,4,3,1987,233637
109,4,4,1960,305465
54,2,10,1972,117117
68,2,5,1987,117343
80,3,4,2016,163280
74,2,7,1969,127919
80,4,8,2013,153506
118,4,5,1976,277113
61,3,9,2010,133231
90,3,1,1958,251167
62,3,1,1958,149873
74,2,4,1966,136432
70,3,8,2011,113801
95,4,1,2005,159646
98,4,5,1960,245145
85,4,4,1975,163359
96,3,4,2011,198238
96,4,10,1995,180470
70,3,7,1972,145731
90,3,9,2001,175716
102,5,2,1964,232864
78,3,8,1972,159327
52,2,3,1986,93344
59,2,4,1985,119954
53,1,4,1985,87521
85,4,7,1975,191007
108,5,3,2022,204654
82,4,8,1951,278918
68,2,4,1991,108449
109,4,4,1952,396188
82,4,9,1958,242666
104,5,1,2016,250826
57,2,9,1964,107732
85,4,9,2018,189838
64,3,8,1966,174764
102,5,5,1984,265504
90,3,9,2020,153487
73,3,2,2002,130686
52,2,2,1975,108149
101,4,5,1976,244897
50,1,9,2012,88842
67,3,1,1976,131517
61,2,1,1965,105347
112,4,9,1995,268344
108,4,4,2018,219327
68,3,6,1981,119994
58,1,2,1977,95376
66,2,3,1970,141276
79,2,8,1952,221464
87,3,8,1970,162458
68,2,9,2001,103982
110,5,4,2016,217829
56,2,3,2016,105115
102,5,1,2009,201059
120,5,8,1993,231557
107,4,2,1995,247459
106,4,8,1962,283486
112,4,1,2018,249187
79,2,10,2008,132303
110,5,9,2021,297147
57,2,7,2013,123096
53,1,7,1970,84043
65,3,7,1966,169007
83,4,8,1953,225609
71,2,10,2011,111434
74,2,4,1958,194039
93,4,2,1972,219246
53,1,1,1952,116070
53,1,4,1992,93592
120,4,4,1991,217717
61,2,7,2001,93365
101,5,9,1978,195072
62,3,7,1977,142977
75,3,6,1954,203528
75,3,4,2021,167370
118,5,6,2016,296060
63,2,7,1955,137914
117,4,9,1989,225143
113,4,8,1954,292057
80,4,9,2017,162310
68,3,7,1970,136377
84,4,2,2001,198562
62,2,6,1975,108748
89,3,4,1980,175435
63,2,9,2012,94888
87,4,10,1985,199225
120,4,4,1992,240640
93,4,1,1995,197384
107,5,9,1997,227386
117,5,8,1970,306276
63,3,9,1960,185272
116,4,4,1980,213308
91,4,5,1978,197421
107,5,3,1967,238924
59,1,9,1978,99625
76,2,6,1994,115617
70,2,7,2022,135941
101,5,3,2008,196005
85,3,5,2018,139322
98,4,3,2014,181205
81,3,1,1960,167946
68,3,3,1989,157216
112,5,7,1953,379032
77,2,5,1982,125290
53,2,10,2015,109022
73,2,3,1998,140184
67,2,9,1979,141748
62,2,7,2022,134742
76,2,8,2001,139243
67,3,3,1971,144204
119,4,9,2005,214493
115,4,10,1998,200822
84,4,8,1984,193908
57,2,7,1962,106846
107,5,7,1978,249900
84,4,7,2007,154552
58,1,5,1958,143849
97,3,2,1964,224044
52,2,5,1978,90664
119,5,6,1998,255457
102,5,4,1961,337941
78,2,7,2009,142025
108,4,5,2018,262311
94,4,3,1965,249771
51,2,5,2010,94893
55,2,8,2021,108847
58,2,2,1969,100901
70,2,2,1978,146251
102,5,10,2011,194105
86,4,8,1958,204955
85,4,9,1963,209368
51,1,1,1987,62310
113,5,9,1955,396892
59,2,10,2001,113227
118,5,3,1976,244799
118,5,10,2018,281341
92,4,10,1977,209961
116,4,7,1990,262698
74,3,4,2013,127334
118,4,9,1973,277183
98,3,1,1984,172072
83,3,3,1988,140967
95,3,6,1957,230451
108,4,10,1972,275972
102,5,8,2019,229363
86,4,1,1989,155903
59,2,7,1972,91028
52,2,2,2010,87885
61,2,9,1991,128439
61,3,7,2019,98289
79,2,9,1998,135364
110,4,1,2015,209264
112,5,9,1973,272393
79,3,1,1997,137577
86,4,7,1982,189930
68,3,1,1992,117090
80,4,7,1964,228018
114,5,3,1992,306379
90,4,10,2015,160937
120,5,2,1984,238014
56,1,9,2022,103357
92,3,4,1997,211034
88,4,10,1966,203103
63,2,5,2016,129682
73,3,7,2014,128618
95,4,1,2003,197051
61,2,10,1982,109167
107,4,9,2002,190674
67,2,2,1981,141550
69,2,9,2010,132496
103,5,4,2021,263219
54,1,8,1992,95750
88,3,10,2002,162230
68,3,1,2010,125970
65,3,4,2001,143711
92,4,6,1995,173030
90,4,2,2001,224889
118,5,2,2002,288620
108,5,2,1979,289019
83,4,2,1953,250339
91,4,3,2016,222474
90,3,1,1977,186647
77,3,7,1966,159365
88,3,10,1976,193424
59,1,1,1975,80909
81,3,5,1986,158113
62,2,1,1997,94207
96,4,5,1958,260777
72,2,4,1964,140873
55,2,9,1967,101818
120,5,6,1976,284311
118,4,9,1983,276048
86,3,7,1961,240890
88,4,6,1989,153642
82,3,8,1950,237520
97,3,4,1989,165324
90,3,2,1951,299984
82,3,10,2016,148394
95,3,4,2002,190841
107,5,7,2021,290965
79,2,9,1959,187490
109,4,10,1980,215099
109,4,3,1955,375296
77,3,4,1981,165402
107,5,8,2013,277582
103,4,7,1955,267759
77,3,6,1992,159541
82,4,9,1998,200303
53,1,6,1990,92676
119,5,9,2009,294145
75,3,1,1995,130409
95,4,5,2004,176980
100,5,10,1989,187707
107,4,7,1991,219192
86,3,2,1997,187114
89,4,2,1973,177486
82,3,10,2001,165280
55,2,10,1970,123959
107,4,10,1965,287435
76,2,6,1967,164736
104,4,1,1986,170836
106,5,4,2010,255637
78,2,7,1975,115267
79,3,2,2010,162411
73,2,4,2013,121193
67,2,3,1976,127976
98,3,3,1959,283351
78,2,1,1985,114869
69,3,10,1982,117872
116,4,7,1987,264180
117,4,2,1961,362398
55,2,5,2007,85636
113,5,9,2006,251022
69,2,10,2016,140758
72,2,7,1990,149566
51,1,6,1960,117053
82,3,2,1992,159293
89,4,2,2001,175171
68,3,5,2016,127944
109,5,8,2011,279221
55,1,6,2003,98966
102,5,4,1989,262663
94,3,4,1995,196341
67,3,8,1998,143747
80,4,10,1991,185323
92,3,9,1971,190944
54,2,10,2006,111015
88,4,1,2016,204199
118,5,3,2010,269609
60,3,1,1981,125776
70,2,9,2011,111412
79,2,2,2015,155836
78,3,6,2005,145775
116,4,6,1990,243152
51,2,1,1954,116540
114,4,7,2011,213224
71,2,5,1970,129963
111,5,5,2013,242628
106,5,2,1954,332812
78,2,5,2005,142082
67,2,9,1954,190452
81,4,4,2021,183938
67,3,5,1994,158129
112,5,5,1972,296333
85,3,3,1956,222461
69,2,9,1954,164473
87,4,2,1973,228129
96,3,5,2021,192666
114,4,7,2002,259474
107,4,9,1987,226882
73,3,1,2014,150002
51,1,9,2021,100834
98,4,2,1955,283640
111,4,3,2012,266175
115,5,9,1970,289563
72,2,10,1971,163186
98,4,6,2008,234644
89,3,6,1994,179552
52,2,10,1966,97629
95,3,1,1968,233912
102,4,10,1952,282189
87,3,7,2005,174641
81,3,9,1978,138788
90,3,1,2012,133460
59,1,7,1994,90220
57,1,3,2019,103581
79,2,10,1999,146923
97,4,6,2020,169404
116,5,4,1987,264922
69,3,5,2009,157707
58,1,1,1992,72315
76,3,5,2007,149869
111,5,3,1951,373144
52,1,10,1985,88388
54,2,1,2018,101942
78,2,3,1953,184599
108,4,2,1950,322466
116,4,5,1972,278090
93,3,9,2008,163385
87,3,5,1966,215592
96,3,2,1974,160684
53,2,1,1952,147109
76,2,9,2008,150500
50,2,9,1969,110654
80,4,5,1952,273697
65,2,10,1995,126540
62,2,4,2015,100893
92,4,5,2016,232485
97,3,6,2021,154415
77,2,9,1956,172119
82,3,6,1961,180965
57,1,5,2019,77188
81,4,2,2002,161468
83,4,4,1989,160144
57,1,5,2022,107858
86,3,8,1959,180710
99,4,8,1986,199808
60,3,8,2007,132476
97,4,6,1957,227739
118,4,7,1981,243690
66,3,10,1988,148826
117,5,1,2001,284893
119,4,4,1967,262506
99,4,9,2012,174807
103,4,3,1996,246583
81,4,3,1977,172559
97,4,8,2020,177239
81,4,6,1965,243194
83,4,8,1953,249923
105,4,3,2004,254232
95,3,2,1984,197571
81,4,1,1955,226189
111,5,5,1989,259742
53,1,2,1975,102010
112,4,2,2020,255520
106,5,2,1954,408006
79,3,3,1972,149374
70,3,6,1968,129943
86,3,3,1961,191857
75,3,5,2017,127130
88,3,9,1952,260465
115,5,2,1956,380842
93,4,7,2004,162296
75,2,7,1957,148154
67,3,5,1986,110498
116,4,6,1956,297052
50,1,8,1973,74487
109,5,8,1956,378428
63,2,3,2022,130642
57,2,9,1995,109446
68,3,8,2008,132477
113,4,4,1975,215256
80,3,7,1996,131305
73,2,8,2016,145245
110,4,5,2009,217753
77,2,5,2015,145894
59,2,2,2018,93029
53,2,3,2012,113426
96,4,10,1991,179384
91,4,8,1950,331084
72,3,7,1954,164451
60,3,5,1952,163652
71,3,6,2012,143245
50,2,10,2006,84711
51,2,7,2012,102560
97,4,5,1963,218467
114,5,9,1953,353200
118,5,6,2001,256015
56,2,4,1959,120598
77,2,2,1991,147820
69,3,6,1970,144431
101,5,10,2010,201811
58,1,3,1990,97562
116,5,5,1988,317283
110,5,8,1971,265823
94,4,1,1951,284442
68,2,6,1992,115019
112,4,10,1961,290242
100,4,4,1988,246150
81,4,6,2015,166456
80,3,9,2006,160951
52,2,4,1978,80851
102,5,10,2008,194060
52,2,6,1991,107417
59,2,8,2022,88135
50,2,3,1995,75043
110,4,4,1988,193833
109,4,8,2007,276060
81,4,7,1992,160892
60,3,10,1993,119297
60,3,6,1982,142417
79,3,3,1994,140117
114,4,6,1968,271143
81,3,5,1978,149782
70,2,7,1998,114182
73,2,8,1985,126413
87,3,8,1969,201609
116,4,10,1958,318720
93,4,7,2012,230746
99,3,3,1967,226579
66,2,1,2009,108536
61,2,3,1988,89393
104,5,10,1985,251275
114,4,1,1994,180045
120,5,2,1970,352333
104,5,1,2010,249615
108,5,7,1968,234017
60,2,4,2014,105821
61,2,3,1973,122977
94,4,6,2012,179433
71,3,10,1981,142626
52,1,2,1957,139429
108,4,9,1974,199147
80,3,6,2019,153945
101,4,4,1972,268747
108,5,1,2022,264457
115,5,8,1984,218559
107,4,9,1975,198707
93,4,7,2010,222224
104,5,10,2009,199212
71,2,6,1986,133624
97,4,7,1975,233372
106,5,10,1986,257214
97,3,8,1985,168675
80,4,3,1953,216669
64,3,4,1961,177378
110,5,7,1961,354669
82,4,2,1966,179312
58,2,8,1977,119318
104,5,2,2018,226637
108,4,2,1993,246559
112,5,6,1967,345986
100,4,2,1965,266952
116,4,10,1984,245081
78,3,5,1963,163184
103,4,6,2003,241422
93,3,1,1962,231479
70,2,1,1989,99272
50,2,5,1977,96773
78,2,1,1975,144948
82,4,6,2002,197698
105,4,9,1998,269996
57,2,1,1967,111825
91,4,9,1986,159107
119,4,5,1983,210761
88,3,4,1975,196613
85,3,5,2018,186409
116,5,1,1985,254706
93,3,4,1968,187227
55,2,10,1962,113669
111,4,4,2011,255521
106,5,1,1980,204672
77,2,1,1968,160398
87,3,8,2008,161865
112,5,4,2015,259847
105,4,2,1991,244777
103,4,6,2008,229432
62,2,5,1953,169169
56,1,3,2016,83650
86,4,8,2010,220587
55,1,3,1956,115004
66,2,8,2021,135537
81,3,5,1985,148018
87,3,2,1971,198637
104,5,5,1951,344486
63,2,5,1950,156484
89,3,1,2010,129344
87,4,5,1953,312355
86,3,2,1957,241363
93,3,10,1993,166065
115,4,6,1994,249887
116,5,2,2021,219689
97,4,7,1976,248276
96,3,10,1993,186045
89,4,5,1993,181144
50,1,4,1981,70868
72,3,4,2017,117496
109,5,9,1994,272765
117,5,2,1981,246395
112,5,4,2010,292617
116,4,2,1962,262608
50,2,10,1991,72695
57,1,4,1999,91966
98,4,9,1975,247908
97,4,4,1961,216095
105,4,1,1950,309274
97,4,3,1962,306815
102,5,7,1989,235537
56,2,6,1955,161480
91,4,3,1974,179898
71,3,2,1987,164162
114,5,10,1991,251467
112,4,2,1965,265197
94,3,8,1990,162108
72,2,8,1982,147712
83,4,1,2013,145283
55,2,6,1983,82843
82,4,5,1982,161048
100,5,4,1976,275214
90,4,9,1974,233047
105,4,3,1951,377356
99,4,2,1987,217299
92,3,3,1951,291290
55,1,10,1992,98885
85,3,2,2019,144599
61,2,6,2001,120768
57,1,1,1954,108788
98,3,3,1983,167725
72,3,8,2000,118948
117,5,3,2013,277623
82,4,5,2007,205967
94,3,5,2011,215188
62,2,8,2017,109780
98,3,8,1967,248343
76,2,9,1991,148421
68,2,5,1971,127887
83,3,6,1996,184463
87,4,2,1974,190100
